, 0
639, 0
640, 0
641, 0
642, 0
643, 0
644, 3
645, 0
646, 0
647, 14
648, 0
649, 680
650, 0
651, 0
652, 0
653, 0
654, 0
655, 56
656, 0
657, 0
658, 0
659, 284
660, 0
661, 0
662, 0
663, 0
664, 6
665, 0
666, 0
667, 0
668, 13
669, 131
670, 0
671, 0
672, 0
673, 0
674, 0
675, 22
676, 0
677, 0
678, 50
679, 78
680, 0
681, 0
682, 0
683, 0
684, 298
685, 0
686, 0
687, 0
688, 0
689, 0
690, 0
691, 0
692, 0
693, 0
694, 0
695, 0
696, 0
697, 0
698, 0
699, 22
700, 149
701, 0
702, 0
703, 0
704, 10
705, 0
706, 78
707, 76
708, 0
709, 0
710, 51
711, 0
712, 0
713, 0
714, 0
715, 0
716, 0
717, 374
718, 0
719, 0
720, 0
721, 0
722, 0
723, 0
724, 4
725, 0
726, 0
727, 0
728, 345
729, 0
730, 0
731, 25
732, 0
733, 0
734, 0
735, 0
736, 0
737, 18
738, 0
739, 679
740, 0
741, 0
742, 0
743, 0
744, 0
745, 0
746, 0
747, 0
748, 0
749, 0
750, 0
751, 0
752, 0
753, 0
754, 0
755, 0
756, 0
757, 0
758, 1
759, 30
760, 353
761, 0
762, 0
763, 0
764, 0
765, 0
766, 0
767, 38
768, 0
769, 126
770, 0
771, 0
772, 0
773, 0
774, 0
775, 0
776, 0
777, 7
778, 0
779, 156
780, 12
781, 0
782, 0
783, 0
784, 192
785, 0
786, 0
787, 0
788, 0
789, 0
790, 0
791, 0
792, 0
793, 0
794, 21
795, 0
796, 0
797, 0
798, 0
799, 0
800, 78
801, 0
802, 0
803, 0
804, 234
805, 0
806, 0
807, 0
808, 0
809, 20
810, 0
811, 0
812, 0
813, 0
814, 354
815, 0
816, 0
817, 0
818, 0
819, 0
820, 0
821, 0
822, 0
823, 0
824, 238
825, 0
826, 0
827, 0
828, 0
829, 0
830, 53
831, 0
832, 0
833, 0
834, 53
835, 0
836, 0
837, 0
838, 287
839, 0
840, 0
841, 0
842, 0
843, 0
844, 0
845, 0
846, 0
847, 0
848, 0
849, 28
850, 356
851, 0
852, 0
853, 0
854, 0
855, 0
856, 0
857, 0
858, 0
859, 0
860, 0
861, 0
862, 0
863, 0
864, 0
865, 0
866, 0
867, 25
868, 30
869, 0
870, 0
871, 0
872, 0
873, 0
874, 0
875, 0
876, 0
877, 0
878, 0
879, 144
880, 0
881, 0
882, 221
883, 0
884, 0
885, 0
886, 0
887, 0
888, 0
889, 0
890, 0
891, 0
892, 0
893, 0
894, 0
895, 0
896, 12
897, 0
898, 0
899, 0
900, 66
901, 0
902, 7
903, 0
904, 498
905, 0
906, 0
907, 0
908, 0
909, 0
910, 0
911, 0
912, 0
913, 0
914, 48
915, 156
916, 0
917, 0
918, 0
919, 0
920, 0
921, 0
922, 0
923, 0
924, 0
925, 0
926, 327
927, 0
928, 0
929, 0
930, 0
931, 0
932, 6
933, 0
934, 0
935, 0
936, 15
937, 129
938, 0
939, 0
940, 0
941, 0
942, 0
943, 0
944, 0
945, 0
946, 36
947, 0
948, 128
949, 0
950, 0
951, 0
952, 0
953, 0
954, 0
955, 0
956, 0
957, 27
958, 28
959, 0
960, 0
961, 0
962, 0
963, 0
964, 0
965, 0
966, 0
967, 0
968, 0
969, 0
970, 0
971, 0
972, 0
973, 0
974, 0
975, 0
976, 0
977, 0
978, 0
979, 63
980, 0
981, 314
982, 10
983, 0
984, 0
985, 0
986, 0
987, 0
988, 0
989, 0
990, 0
991, 0
992, 92
993, 0
994, 0
995, 0
996, 0
997, 0
998, 0
999, 12
1000, 156
1001, 71
1002, 0
1003, 156
1004, 0
1005, 0
1006, 0
1007, 0
1008, 0
1009, 0
1010, 0
1011, 0
1012, 21
1013, 0
1014, 0
1015, 0
1016, 0
1017, 0
1018, 0
1019, 0
1020, 234
1021, 0
1022, 0
1023, 0
1024, 0
1025, 255
1026, 0
1027, 0
1028, 0
1029, 0
1030, 0
1031, 5
1032, 10
1033, 0
1034, 0
1035, 57
1036, 78
1037, 0
1038, 0
1039, 0
1040, 0
1041, 0
1042, 0
1043, 0
1044, 0
1045, 0
1046, 0
1047, 156
1048, 19
1049, 0
1050, 0
1051, 0
1052, 7
1053, 0
1054, 0
1055, 0
1056, 0
1057, 0
1058, 137
1059, 0
1060, 0
1061, 0
1062, 0
1063, 0
1064, 0
1065, 0
1066, 0
1067, 0
1068, 0
1069, 63
1070, 0
1071, 0
1072, 0
1073, 0
1074, 0
1075, 0
1076, 0
1077, 0
1078, 0
1079, 0
