CD1,CD2,CD3,CD4,CD5,CD6,CD7,CD8,CD9,CD10
CD1,0,0,1,0,0,0,0,1,0,0
CD2,0,0,1,0,0,0,0,1,0,0
CD3,1,1,0,1,1,1,1,1,1,1
CD4,0,0,1,0,0,0,0,1,0,0
CD5,0,0,1,0,0,0,0,1,0,0
CD6,0,0,1,0,0,0,0,1,0,0
CD7,0,0,1,0,0,0,0,1,0,0
CD8,1,1,1,1,1,1,1,0,1,1
CD9,0,0,1,0,0,0,0,1,0,0
CD10,0,0,1,0,0,0,0,1,0,0
