,origin,destination,aircraft_number,distances,doc,demand,revenue,active_arcs,mach,pax_num,fuel,time,DOC_nd,mach_tot_aircraft,total_fuel,total_distance,total_pax,total_cost,total_time
0,CD1,CD1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,CD1,CD2,6.0,355,6111,451.0,54120,1,0.7385858585858585,68.0,1623.161535194259,57.1983879835186,17.21616036933486,4.431515151515151,9738.969211165553,2130.0,408.0,73332.0,343.1903279011116
2,CD1,CD3,0.0,243,4743,294.0,35280,0,0.6195959595959595,68.0,1041.4039164074059,45.02081284528732,19.51973435872378,0.0,0.0,0.0,0.0,0.0,0.0
3,CD1,CD4,0.0,198,4175,252.0,30240,0,0.5882828282828283,68.0,878.3733624573914,38.36963018374469,21.086260853631824,0.0,0.0,0.0,0.0,0.0,0.0
4,CD1,CD5,3.0,768,12340,313.0,37560,1,0.7448484848484846,68.0,3888.799239277284,115.70092862607416,16.068929858202665,2.234545454545454,11666.397717831853,2304.0,204.0,74040.0,347.10278587822245
5,CD1,CD6,0.0,591,9639,298.0,35760,0,0.7511111111111111,68.0,2893.813382001775,90.95289486939632,16.310763109517442,0.0,0.0,0.0,0.0,0.0,0.0
6,CD1,CD7,0.0,517,8484,192.0,23040,0,0.7448484848484846,68.0,2482.932979957025,79.90342987290845,16.41166183700991,0.0,0.0,0.0,0.0,0.0,0.0
7,CD1,CD8,0.0,589,9610,221.0,26520,0,0.7511111111111111,68.0,2882.838884126115,90.68075673424802,16.31609676667285,0.0,0.0,0.0,0.0,0.0,0.0
8,CD1,CD9,0.0,336,5842,324.0,38880,0,0.7385858585858585,68.0,1524.5901016699818,54.56245012292027,17.389484087329254,0.0,0.0,0.0,0.0,0.0,0.0
9,CD1,CD10,0.0,154,3145,188.0,22560,0,0.5256565656565656,68.0,737.9930575391797,23.016503000461014,20.426258117289752,0.0,0.0,0.0,0.0,0.0,0.0
10,CD2,CD1,0.0,355,6111,451.0,54120,0,0.7385858585858585,68.0,1623.161535194259,57.1983879835186,17.21616036933486,0.0,0.0,0.0,0.0,0.0,0.0
11,CD2,CD2,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,CD2,CD3,5.0,188,4131,342.0,41040,1,0.5632323232323231,68.0,838.9467177941248,38.352006932575875,21.977822785966318,2.816161616161615,4194.733588970624,940.0,340.0,41310.0,191.76003466287938
13,CD2,CD4,0.0,200,4206,469.0,56280,0,0.5882828282828283,68.0,888.4650676235746,38.71074134554189,21.03053495962315,0.0,0.0,0.0,0.0,0.0,0.0
14,CD2,CD5,0.0,672,10913,398.0,47760,0,0.7385858585858585,68.0,3342.8121203341752,103.29802938047865,16.239866876743815,0.0,0.0,0.0,0.0,0.0,0.0
15,CD2,CD6,0.0,620,10112,215.0,25800,0,0.7511111111111111,68.0,3053.5505695959478,95.59207975208034,16.311248961203273,0.0,0.0,0.0,0.0,0.0,0.0
16,CD2,CD7,0.0,781,12539,254.0,30480,0,0.7448484848484846,68.0,3962.6972570225275,117.48596183983888,16.055959831068655,0.0,0.0,0.0,0.0,0.0,0.0
17,CD2,CD8,0.0,243,4743,505.0,60600,0,0.6195959595959595,68.0,1041.4039164074059,45.02081284528732,19.51973435872378,0.0,0.0,0.0,0.0,0.0,0.0
18,CD2,CD9,0.0,690,11185,227.0,27240,0,0.7385858585858585,68.0,3443.000075780878,105.79744383697647,16.211340968555504,0.0,0.0,0.0,0.0,0.0,0.0
19,CD2,CD10,0.0,427,7127,322.0,38640,0,0.7448484848484846,68.0,2002.3551007705144,66.66546858055354,16.692271249729366,0.0,0.0,0.0,0.0,0.0,0.0
20,CD3,CD1,4.0,243,4743,294.0,35280,1,0.6195959595959595,68.0,1041.4039164074059,45.02081284528732,19.51973435872378,2.478383838383838,4165.615665629623,972.0,272.0,37944.0,180.08325138114927
