,origin,destination,aircraft_number,distances,doc,demand,revenue,mach,pax_num,fuel,time,active_arcs,mach_tot_aircraft,total_fuel,total_distance,total_pax,total_cost,total_time
33,CD4,CD4,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
34,CD4,CD5,0.0,788,12647,307.0,36840,0.7448484848484846,68.0,4002.6132497653857,118.44968547949668,0,0.0,0.0,0,0.0,0.0,0.0
35,CD4,CD6,0.0,670,10882,374.0,44880,0.7385858585858585,68.0,3331.239060261267,103.02792159389693,0,0.0,0.0,0,0.0,0.0,0.0
36,CD4,CD7,0.0,700,11337,291.0,34920,0.7385858585858585,68.0,3498.820832056868,107.18564294069039,0,0.0,0.0,0,0.0,0.0,0.0
37,CD4,CD8,0.0,406,6824,327.0,39240,0.7448484848484846,68.0,1896.5405303864568,63.91628094245421,0,0.0,0.0,0,0.0,0.0,0.0
38,CD4,CD9,0.0,519,8514,255.0,30600,0.7448484848484846,68.0,2493.7117681801055,80.177898698884,0,0.0,0.0,0,0.0,0.0,0.0
39,CD4,CD10,0.0,326,5701,256.0,30720,0.7385858585858585,68.0,1472.8999099572432,53.173347392251756,0,0.0,0.0,0,0.0,0.0,0.0
40,CD5,CD1,3.0,768,12340,313.0,37560,0.7448484848484846,68.0,3888.799239277284,115.70092862607416,1,2.234545454545454,11666.397717831853,768,204.0,74040.0,347.10278587822245
41,CD5,CD2,4.0,672,10913,398.0,47760,0.7385858585858585,68.0,3342.8121203341752,103.29802938047865,1,2.954343434343434,13371.248481336701,672,272.0,87304.0,413.1921175219146
42,CD5,CD3,3.0,574,9389,300.0,36000,0.7511111111111111,68.0,2800.686959396145,88.63960701964578,1,2.253333333333333,8402.060878188435,574,204.0,56334.0,265.91882105893734
43,CD5,CD4,3.0,788,12647,307.0,36840,0.7448484848484846,68.0,4002.6132497653857,118.44968547949668,1,2.234545454545454,12007.839749296158,788,204.0,75882.0,355.34905643849004
44,CD5,CD5,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
45,CD5,CD6,7.0,261,4973,697.0,83640,0.6634343434343433,68.0,1134.2468051981575,47.19284666653279,1,4.644040404040403,7939.727636387102,261,476.0,69622.0,330.3499266657295
46,CD5,CD7,4.0,720,11641,340.0,40800,0.7385858585858585,68.0,3610.8098904519657,109.9605697850652,1,2.954343434343434,14443.239561807863,720,272.0,93128.0,439.8422791402608
47,CD5,CD8,0.0,784,12585,150.0,18000,0.7448484848484846,68.0,3979.8060348497256,117.8995712456923,0,0.0,0.0,0,0.0,0.0,0.0
48,CD5,CD9,0.0,977,15693,150.0,18000,0.7511111111111111,68.0,5117.969171764539,145.79606107086158,0,0.0,0.0,0,0.0,0.0,0.0
49,CD5,CD10,2.0,670,10882,183.0,21960,0.7385858585858585,68.0,3331.239060261267,103.02792159389693,1,1.477171717171717,6662.478120522534,670,136.0,43528.0,206.05584318779387
50,CD6,CD1,3.0,591,9639,298.0,35760,0.7511111111111111,68.0,2893.813382001775,90.95289486939632,1,2.253333333333333,8681.440146005325,591,204.0,57834.0,272.8586846081889
51,CD6,CD2,2.0,620,10112,215.0,25800,0.7511111111111111,68.0,3053.5505695959478,95.59207975208034,1,1.5022222222222221,6107.1011391918955,620,136.0,40448.0,191.18415950416068
52,CD6,CD3,4.0,463,7699,374.0,44880,0.7448484848484846,68.0,2193.5859028367468,72.47546335839337,1,2.9793939393939386,8774.343611346987,463,272.0,61592.0,289.9018534335735
53,CD6,CD4,4.0,670,10882,374.0,44880,0.7385858585858585,68.0,3331.239060261267,103.02792159389693,1,2.954343434343434,13324.956241045067,670,272.0,87056.0,412.11168637558774
54,CD6,CD5,7.0,261,4973,697.0,83640,0.6634343434343433,68.0,1134.2468051981575,47.19284666653279,1,4.644040404040403,7939.727636387102,261,476.0,69622.0,330.3499266657295
55,CD6,CD6,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
56,CD6,CD7,0.0,459,7641,384.0,46080,0.7448484848484846,68.0,2172.2698514426934,71.92566275656189,0,0.0,0.0,0,0.0,0.0,0.0
57,CD6,CD8,0.0,802,12862,164.0,19680,0.7448484848484846,68.0,4082.5711669401576,120.37437277353736,0,0.0,0.0,0,0.0,0.0,0.0
58,CD6,CD9,0.0,741,11929,175.0,21000,0.7448484848484846,68.0,3735.9206007121193,111.98872840953771,0,0.0,0.0,0,0.0,0.0,0.0
59,CD6,CD10,0.0,463,7699,171.0,20520,0.7448484848484846,68.0,2193.5859028367468,72.47546335839337,0,0.0,0.0,0,0.0,0.0,0.0
60,CD7,CD1,2.0,517,8484,192.0,23040,0.7448484848484846,68.0,2482.932979957025,79.90342987290845,1,1.4896969696969693,4965.86595991405,517,136.0,33936.0,159.8068597458169
61,CD7,CD2,3.0,781,12539,254.0,30480,0.7448484848484846,68.0,3962.6972570225275,117.48596183983888,1,2.234545454545454,11888.091771067582,781,204.0,75234.0,352.45788551951665
62,CD7,CD3,4.0,595,9698,354.0,42480,0.7511111111111111,68.0,2915.772695866847,91.49727329685221,1,3.0044444444444443,11663.090783467387,595,272.0,77584.0,365.98909318740886
63,CD7,CD4,3.0,700,11337,291.0,34920,0.7385858585858585,68.0,3498.820832056868,107.18564294069039,1,2.2157575757575754,10496.462496170603,700,204.0,68022.0,321.55692882207114
64,CD7,CD5,0.0,720,11641,340.0,40800,0.7385858585858585,68.0,3610.8098904519657,109.9605697850652,0,0.0,0.0,0,0.0,0.0,0.0
65,CD7,CD6,4.0,459,7641,384.0,46080,0.7448484848484846,68.0,2172.2698514426934,71.92566275656189,1,2.9793939393939386,8689.079405770774,459,272.0,61128.0,287.70265102624757
66,CD7,CD7,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
67,CD7,CD8,0.0,1020,16123,55.0,6600,0.7448484848484846,58.0,5255.464960706284,151.30208542310038,0,0.0,0.0,0,0.0,0.0,0.0
