,column_i,column_j,column_k,pax_number
773,CD8,CD8,CD4,0.0
774,CD8,CD8,CD5,0.0
775,CD8,CD8,CD6,0.0
776,CD8,CD8,CD7,0.0
777,CD8,CD8,CD8,
778,CD8,CD8,CD9,0.0
779,CD8,CD8,CD10,0.0
780,CD8,CD9,CD1,0.0
781,CD8,CD9,CD2,0.0
782,CD8,CD9,CD3,0.0
783,CD8,CD9,CD4,0.0
784,CD8,CD9,CD5,0.0
785,CD8,CD9,CD6,0.0
786,CD8,CD9,CD7,0.0
787,CD8,CD9,CD8,0.0
788,CD8,CD9,CD9,0.0
789,CD8,CD9,CD10,0.0
790,CD8,CD10,CD1,0.0
791,CD8,CD10,CD2,0.0
792,CD8,CD10,CD3,0.0
793,CD8,CD10,CD4,0.0
794,CD8,CD10,CD5,0.0
795,CD8,CD10,CD6,0.0
796,CD8,CD10,CD7,0.0
797,CD8,CD10,CD8,0.0
798,CD8,CD10,CD9,0.0
799,CD8,CD10,CD10,0.0
800,CD9,CD1,CD1,0.0
801,CD9,CD1,CD2,0.0
802,CD9,CD1,CD3,0.0
803,CD9,CD1,CD4,0.0
804,CD9,CD1,CD5,0.0
805,CD9,CD1,CD6,0.0
806,CD9,CD1,CD7,0.0
807,CD9,CD1,CD8,0.0
808,CD9,CD1,CD9,0.0
809,CD9,CD1,CD10,0.0
810,CD9,CD2,CD1,0.0
811,CD9,CD2,CD2,0.0
812,CD9,CD2,CD3,0.0
813,CD9,CD2,CD4,0.0
814,CD9,CD2,CD5,0.0
815,CD9,CD2,CD6,0.0
816,CD9,CD2,CD7,0.0
817,CD9,CD2,CD8,0.0
818,CD9,CD2,CD9,0.0
819,CD9,CD2,CD10,0.0
820,CD9,CD3,CD1,0.0
821,CD9,CD3,CD2,0.0
822,CD9,CD3,CD3,0.0
823,CD9,CD3,CD4,0.0
824,CD9,CD3,CD5,0.0
825,CD9,CD3,CD6,0.0
826,CD9,CD3,CD7,0.0
827,CD9,CD3,CD8,0.0
828,CD9,CD3,CD9,255.0
829,CD9,CD3,CD10,0.0
830,CD9,CD4,CD1,0.0
831,CD9,CD4,CD2,0.0
832,CD9,CD4,CD3,0.0
833,CD9,CD4,CD4,0.0
834,CD9,CD4,CD5,0.0
835,CD9,CD4,CD6,0.0
836,CD9,CD4,CD7,0.0
837,CD9,CD4,CD8,0.0
838,CD9,CD4,CD9,0.0
839,CD9,CD4,CD10,0.0
840,CD9,CD5,CD1,0.0
841,CD9,CD5,CD2,0.0
842,CD9,CD5,CD3,0.0
843,CD9,CD5,CD4,0.0
844,CD9,CD5,CD5,0.0
845,CD9,CD5,CD6,0.0
846,CD9,CD5,CD7,0.0
847,CD9,CD5,CD8,0.0
848,CD9,CD5,CD9,0.0
849,CD9,CD5,CD10,0.0
850,CD9,CD6,CD1,0.0
851,CD9,CD6,CD2,0.0
852,CD9,CD6,CD3,0.0
853,CD9,CD6,CD4,0.0
854,CD9,CD6,CD5,0.0
855,CD9,CD6,CD6,0.0
856,CD9,CD6,CD7,0.0
857,CD9,CD6,CD8,0.0
858,CD9,CD6,CD9,0.0
859,CD9,CD6,CD10,0.0
860,CD9,CD7,CD1,0.0
861,CD9,CD7,CD2,0.0
862,CD9,CD7,CD3,0.0
863,CD9,CD7,CD4,0.0
864,CD9,CD7,CD5,0.0
865,CD9,CD7,CD6,0.0
866,CD9,CD7,CD7,0.0
867,CD9,CD7,CD8,0.0
868,CD9,CD7,CD9,0.0
869,CD9,CD7,CD10,0.0
870,CD9,CD8,CD1,0.0
871,CD9,CD8,CD2,0.0
872,CD9,CD8,CD3,0.0
873,CD9,CD8,CD4,0.0
874,CD9,CD8,CD5,0.0
875,CD9,CD8,CD6,0.0
876,CD9,CD8,CD7,0.0
877,CD9,CD8,CD8,0.0
878,CD9,CD8,CD9,0.0
879,CD9,CD8,CD10,0.0
880,CD9,CD9,CD1,0.0
881,CD9,CD9,CD2,0.0
882,CD9,CD9,CD3,0.0
883,CD9,CD9,CD4,0.0
884,CD9,CD9,CD5,0.0
885,CD9,CD9,CD6,0.0
886,CD9,CD9,CD7,0.0
887,CD9,CD9,CD8,0.0
888,CD9,CD9,CD9,
889,CD9,CD9,CD10,0.0
890,CD9,CD10,CD1,0.0
891,CD9,CD10,CD2,0.0
892,CD9,CD10,CD3,0.0
893,CD9,CD10,CD4,0.0
894,CD9,CD10,CD5,0.0
895,CD9,CD10,CD6,0.0
896,CD9,CD10,CD7,0.0
897,CD9,CD10,CD8,0.0
898,CD9,CD10,CD9,0.0
899,CD9,CD10,CD10,0.0
900,CD10,CD1,CD1,0.0
901,CD10,CD1,CD2,0.0
902,CD10,CD1,CD3,0.0
903,CD10,CD1,CD4,0.0
904,CD10,CD1,CD5,0.0
905,CD10,CD1,CD6,0.0
906,CD10,CD1,CD7,0.0
907,CD10,CD1,CD8,0.0
908,CD10,CD1,CD9,0.0
909,CD10,CD1,CD10,0.0
910,CD10,CD2,CD1,0.0
911,CD10,CD2,CD2,0.0
912,CD10,CD2,CD3,0.0
913,CD10,CD2,CD4,0.0
914,CD10,CD2,CD5,0.0
915,CD10,CD2,CD6,0.0
916,CD10,CD2,CD7,0.0
917,CD10,CD2,CD8,0.0
918,CD10,CD2,CD9,0.0
919,CD10,CD2,CD10,0.0
920,CD10,CD3,CD1,0.0
921,CD10,CD3,CD2,0.0
922,CD10,CD3,CD3,192.0
923,CD10,CD3,CD4,0.0
924,CD10,CD3,CD5,0.0
925,CD10,CD3,CD6,0.0
926,CD10,CD3,CD7,0.0
927,CD10,CD3,CD8,0.0
928,CD10,CD3,CD9,0.0
929,CD10,CD3,CD10,0.0
930,CD10,CD4,CD1,0.0
931,CD10,CD4,CD2,0.0
932,CD10,CD4,CD3,0.0
933,CD10,CD4,CD4,0.0
934,CD10,CD4,CD5,0.0
935,CD10,CD4,CD6,0.0
936,CD10,CD4,CD7,0.0
937,CD10,CD4,CD8,0.0
938,CD10,CD4,CD9,0.0
939,CD10,CD4,CD10,0.0
940,CD10,CD5,CD1,0.0
941,CD10,CD5,CD2,0.0
942,CD10,CD5,CD3,0.0
943,CD10,CD5,CD4,0.0
944,CD10,CD5,CD5,0.0
945,CD10,CD5,CD6,0.0
946,CD10,CD5,CD7,0.0
947,CD10,CD5,CD8,0.0
948,CD10,CD5,CD9,0.0
949,CD10,CD5,CD10,0.0
950,CD10,CD6,CD1,0.0
951,CD10,CD6,CD2,0.0
952,CD10,CD6,CD3,0.0
953,CD10,CD6,CD4,0.0
954,CD10,CD6,CD5,0.0
955,CD10,CD6,CD6,0.0
956,CD10,CD6,CD7,0.0
957,CD10,CD6,CD8,0.0
958,CD10,CD6,CD9,0.0
959,CD10,CD6,CD10,0.0
960,CD10,CD7,CD1,0.0
961,CD10,CD7,CD2,0.0
962,CD10,CD7,CD3,0.0
963,CD10,CD7,CD4,0.0
964,CD10,CD7,CD5,0.0
965,CD10,CD7,CD6,0.0
966,CD10,CD7,CD7,0.0
967,CD10,CD7,CD8,0.0
968,CD10,CD7,CD9,0.0
969,CD10,CD7,CD10,0.0
970,CD10,CD8,CD1,0.0
971,CD10,CD8,CD2,0.0
972,CD10,CD8,CD3,0.0
973,CD10,CD8,CD4,0.0
974,CD10,CD8,CD5,0.0
975,CD10,CD8,CD6,0.0
976,CD10,CD8,CD7,0.0
977,CD10,CD8,CD8,0.0
978,CD10,CD8,CD9,0.0
979,CD10,CD8,CD10,0.0
980,CD10,CD9,CD1,0.0
981,CD10,CD9,CD2,0.0
982,CD10,CD9,CD3,0.0
983,CD10,CD9,CD4,0.0
984,CD10,CD9,CD5,0.0
985,CD10,CD9,CD6,0.0
986,CD10,CD9,CD7,0.0
987,CD10,CD9,CD8,0.0
988,CD10,CD9,CD9,0.0
989,CD10,CD9,CD10,0.0
990,CD10,CD10,CD1,0.0
991,CD10,CD10,CD2,0.0
992,CD10,CD10,CD3,44.0
993,CD10,CD10,CD4,0.0
994,CD10,CD10,CD5,0.0
995,CD10,CD10,CD6,0.0
996,CD10,CD10,CD7,0.0
997,CD10,CD10,CD8,0.0
998,CD10,CD10,CD9,0.0
999,CD10,CD10,CD10,
