, 0
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 3
10, 4
11, 3
12, 3
13, 2
14, 2
15, 2
16, 1
17, 2
18, 6
19, 0
20, 4
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 4
28, 0
29, 1
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 4
37, 0
38, 7
39, 4
40, 0
41, 0
42, 0
43, 1
44, 0
45, 5
46, 1
47, 6
48, 4
49, 4
50, 0
51, 0
52, 0
53, 0
54, 5
55, 0
56, 3
57, 5
58, 5
59, 10
60, 0
61, 0
62, 0
63, 3
64, 1
65, 3
66, 5
67, 4
68, 4
69, 5
70, 0
71, 0
72, 4
73, 1
74, 8
75, 3
76, 3
77, 1
78, 1
79, 0
80, 0
81, 6
82, 2
83, 3
84, 3
85, 3
86, 1
87, 2
88, 2
89, 0
90, 0
91, 0
92, 0
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 188
100, 0
101, 0
102, 0
103, 0
104, 0
105, 0
106, 0
107, 0
108, 0
109, 451
110, 0
111, 0
112, 0
113, 0
114, 0
115, 0
116, 0
117, 0
118, 0
119, 294
120, 0
121, 0
122, 0
123, 0
124, 0
125, 0
126, 0
127, 0
128, 0
129, 252
130, 0
131, 0
132, 0
133, 0
134, 0
135, 0
136, 0
137, 0
138, 0
139, 313
140, 0
141, 0
142, 0
143, 0
144, 0
145, 0
146, 0
147, 0
148, 0
149, 298
150, 0
151, 0
152, 0
153, 0
154, 0
155, 0
156, 0
157, 0
158, 0
159, 192
160, 0
161, 0
162, 0
163, 0
164, 0
165, 0
166, 0
167, 0
168, 0
169, 221
170, 0
171, 0
172, 0
173, 0
174, 0
175, 0
176, 0
177, 0
178, 0
179, 324
180, 0
181, 0
182, 0
183, 0
184, 0
185, 0
186, 0
187, 0
188, 0
189, 188
190, 0
191, 0
192, 0
193, 0
194, 0
195, 0
196, 0
197, 0
198, 0
199, 0
200, 0
201, 0
202, 6
203, 0
204, 0
205, 0
206, 0
207, 0
208, 3
209, 0
210, 312
211, 7
212, 0
213, 0
214, 0
215, 0
216, 0
217, 0
218, 0
219, 0
220, 0
221, 192
222, 0
223, 0
224, 0
225, 0
226, 0
227, 0
228, 28
229, 0
230, 0
231, 0
232, 228
233, 0
234, 0
235, 0
236, 0
237, 0
238, 0
239, 27
240, 0
241, 0
242, 0
243, 156
244, 0
245, 0
246, 0
247, 0
248, 15
249, 0
250, 0
251, 0
252, 0
253, 0
254, 156
255, 0
256, 0
257, 0
258, 0
259, 0
260, 0
261, 0
262, 0
263, 0
264, 0
265, 99
266, 0
267, 0
268, 0
269, 0
270, 0
271, 0
272, 0
273, 0
274, 0
275, 0
276, 78
277, 0
278, 0
279, 92
280, 0
281, 0
282, 0
283, 0
284, 0
285, 12
286, 0
287, 156
288, 451
289, 0
290, 0
291, 0
292, 0
293, 0
294, 0
295, 0
296, 0
297, 0
298, 3
299, 0
300, 302
301, 17
302, 0
303, 0
304, 0
305, 0
306, 0
307, 0
308, 0
309, 0
310, 0
311, 0
312, 0
313, 0
314, 0
315, 0
316, 0
317, 0
318, 0
319, 53
320, 289
321, 0
322, 0
323, 0
324, 0
325, 0
326, 0
327, 0
328, 0
329, 469
330, 0
331, 0
332, 0
333, 0
334, 0
335, 0
336, 0
337, 0
338, 0
339, 398
340, 0
341, 0
342, 0
343, 0
344, 0
345, 0
346, 0
347, 0
348, 0
349, 215
350, 0
351, 0
352, 0
353, 0
354, 0
355, 0
356, 0
357, 14
358, 0
359, 234
360, 6
361, 0
362, 0
363, 0
364, 0
365, 0
366, 0
367, 0
368, 0
369, 505
370, 0
371, 0
372, 0
373, 0
374, 0
375, 0
376, 0
377, 0
378, 0
379, 227
380, 0
381, 0
382, 0
383, 0
384, 0
385, 0
386, 0
387, 294
388, 0
389, 0
390, 0
391, 0
392, 0
393, 0
394, 0
395, 0
396, 0
397, 0
398, 0
399, 0
400, 192
401, 0
402, 0
403, 0
404, 0
405, 0
406, 0
407, 0
408, 0
409, 49
410, 293
411, 0
412, 0
413, 0
414, 0
415, 0
416, 0
417, 0
418, 0
419, 0
420, 0
421, 0
422, 0
423, 0
424, 0
425, 0
